field	cf4d.spe
 335.459	 16120
 335.461	 16150
 335.462	 16160
 335.463	 16150
 335.464	 16135
 335.465	 16120
 335.466	 16150
 335.468	 16175
 335.469	 16135
 335.470	 16135
 335.471	 16175
 335.472	 16200
 335.473	 16190
 335.475	 16215
 335.476	 16200
 335.477	 16215
 335.478	 16230
 335.479	 16190
 335.480	 16175
 335.482	 16120
 335.483	 16110
 335.484	 16150
 335.485	 16160
 335.486	 16175
 335.487	 16190
 335.489	 16200
 335.490	 16175
 335.491	 16200
 335.492	 16200
 335.493	 16150
 335.495	 16120
 335.496	 16135
 335.497	 16160
 335.498	 16160
 335.499	 16200
 335.500	 16200
 335.502	 16190
 335.503	 16230
 335.504	 16215
 335.505	 16200
 335.506	 16230
 335.507	 16200
 335.509	 16215
 335.510	 16175
 335.511	 16150
 335.512	 16175
 335.513	 16175
 335.514	 16160
 335.516	 16150
 335.517	 16160
 335.518	 16150
 335.519	 16175
 335.520	 16175
 335.521	 16200
 335.523	 16190
 335.524	 16160
 335.525	 16190
 335.526	 16200
 335.527	 16230
 335.529	 16215
 335.530	 16215
 335.531	 16230
 335.532	 16200
 335.533	 16150
 335.534	 16150
 335.536	 16160
 335.537	 16215
 335.538	 16240
 335.539	 16270
 335.540	 16215
 335.541	 16215
 335.543	 16230
 335.544	 16240
 335.545	 16230
 335.546	 16255
 335.547	 16255
 335.548	 16240
 335.550	 16230
 335.551	 16230
 335.552	 16215
 335.553	 16240
 335.554	 16270
 335.555	 16270
 335.557	 16240
 335.558	 16240
 335.559	 16255
 335.560	 16240
 335.561	 16240
 335.562	 16230
 335.564	 16230
 335.565	 16215
 335.566	 16215
 335.567	 16240
 335.568	 16230
 335.570	 16200
 335.571	 16200
 335.572	 16240
 335.573	 16240
 335.574	 16255
 335.575	 16255
 335.577	 16240
 335.578	 16240
 335.579	 16230
 335.580	 16240
 335.581	 16270
 335.582	 16270
 335.584	 16280
 335.585	 16310
 335.586	 16295
 335.587	 16255
 335.588	 16295
 335.589	 16270
 335.591	 16255
 335.592	 16255
 335.593	 16230
 335.594	 16230
 335.595	 16240
 335.596	 16295
 335.598	 16295
 335.599	 16255
 335.600	 16295
 335.601	 16310
 335.602	 16280
 335.604	 16295
 335.605	 16270
 335.606	 16255
 335.607	 16295
 335.608	 16255
 335.609	 16255
 335.611	 16240
 335.612	 16240
 335.613	 16280
 335.614	 16270
 335.615	 16320
 335.616	 16280
 335.618	 16270
 335.619	 16215
 335.620	 16240
 335.621	 16280
 335.622	 16310
 335.623	 16310
 335.625	 16320
 335.626	 16295
 335.627	 16280
 335.628	 16310
 335.629	 16320
 335.630	 16320
 335.632	 16310
 335.633	 16320
 335.634	 16335
 335.635	 16320
 335.636	 16280
 335.638	 16280
 335.639	 16295
 335.640	 16295
 335.641	 16280
 335.642	 16270
 335.643	 16255
 335.645	 16215
 335.646	 16240
 335.647	 16310
 335.648	 16350
 335.649	 16320
 335.650	 16310
 335.652	 16295
 335.653	 16295
 335.654	 16320
 335.655	 16310
 335.656	 16280
 335.657	 16310
 335.659	 16295
 335.660	 16320
 335.661	 16320
 335.662	 16375
 335.663	 16350
 335.664	 16350
 335.666	 16350
 335.667	 16350
 335.668	 16375
 335.669	 16360
 335.670	 16320
 335.672	 16310
 335.673	 16295
 335.674	 16310
 335.675	 16335
 335.676	 16335
 335.677	 16320
 335.679	 16310
 335.680	 16310
 335.681	 16320
 335.682	 16350
 335.683	 16360
 335.684	 16350
 335.686	 16310
 335.687	 16350
 335.688	 16350
 335.689	 16310
 335.690	 16320
 335.691	 16310
 335.693	 16310
 335.694	 16295
 335.695	 16295
 335.696	 16295
 335.697	 16295
 335.698	 16335
 335.700	 16320
 335.701	 16360
 335.702	 16350
 335.703	 16320
 335.704	 16310
 335.705	 16310
 335.707	 16320
 335.708	 16320
 335.709	 16310
 335.710	 16310
 335.711	 16335
 335.713	 16320
 335.714	 16350
 335.715	 16320
 335.716	 16320
 335.717	 16335
 335.718	 16320
 335.720	 16335
 335.721	 16320
 335.722	 16320
 335.723	 16320
 335.724	 16310
 335.725	 16295
 335.727	 16280
 335.728	 16280
 335.729	 16295
 335.730	 16280
 335.731	 16270
 335.732	 16295
 335.734	 16320
 335.735	 16295
 335.736	 16320
 335.737	 16320
 335.738	 16310
 335.739	 16310
 335.741	 16320
 335.742	 16295
 335.743	 16320
 335.744	 16335
 335.745	 16360
 335.747	 16400
 335.748	 16390
 335.749	 16360
 335.750	 16215
 335.751	 16270
 335.752	 16295
 335.754	 16295
 335.755	 16310
 335.756	 16310
 335.757	 16295
 335.758	 16320
 335.759	 16335
 335.761	 16320
 335.762	 16350
 335.763	 16360
 335.764	 16360
 335.765	 16360
 335.766	 16335
 335.768	 16350
 335.769	 16335
 335.770	 16320
 335.771	 16310
 335.772	 16280
 335.773	 16280
 335.775	 16295
 335.776	 16320
 335.777	 16310
 335.778	 16295
 335.779	 16295
 335.781	 16295
 335.782	 16320
 335.783	 16320
 335.784	 16320
 335.785	 16310
 335.786	 16295
 335.788	 16295
 335.789	 16295
 335.790	 16310
 335.791	 16320
 335.792	 16335
 335.793	 16310
 335.795	 16310
 335.796	 16310
 335.797	 16310
 335.798	 16335
 335.799	 16350
 335.800	 16320
 335.802	 16295
 335.803	 16335
 335.804	 16350
 335.805	 16295
 335.806	 16280
 335.807	 16310
 335.809	 16280
 335.810	 16320
 335.811	 16320
 335.812	 16310
 335.813	 16320
 335.815	 16295
 335.816	 16280
 335.817	 16295
