field	cf1a.spe
 335.094	 16480
 335.095	 16470
 335.096	 16480
 335.097	 16510
 335.098	 16535
 335.099	 16520
 335.101	 16495
 335.102	 16470
 335.103	 16455
 335.104	 16455
 335.105	 16480
 335.107	 16470
 335.108	 16495
 335.109	 16520
 335.110	 16510
 335.111	 16480
 335.112	 16480
 335.114	 16495
 335.115	 16480
 335.116	 16510
 335.117	 16520
 335.118	 16510
 335.119	 16470
 335.121	 16495
 335.122	 16470
 335.123	 16470
 335.124	 16480
 335.125	 16520
 335.126	 16510
 335.128	 16510
 335.129	 16480
 335.130	 16510
 335.131	 16520
 335.132	 16535
 335.133	 16535
 335.135	 16520
 335.136	 16510
 335.137	 16510
 335.138	 16510
 335.139	 16520
 335.141	 16535
 335.142	 16510
 335.143	 16535
 335.144	 16535
 335.145	 16520
 335.146	 16550
 335.148	 16550
 335.149	 16550
 335.150	 16550
 335.151	 16535
 335.152	 16535
 335.153	 16520
 335.155	 16550
 335.156	 16550
 335.157	 16535
 335.158	 16520
 335.159	 16510
 335.160	 16520
 335.162	 16560
 335.163	 16550
 335.164	 16575
 335.165	 16560
 335.166	 16560
 335.167	 16575
 335.169	 16575
 335.170	 16590
 335.171	 16575
 335.172	 16560
 335.173	 16575
 335.175	 16575
 335.176	 16550
 335.177	 16560
 335.178	 16550
 335.179	 16535
 335.180	 16550
 335.182	 16560
 335.183	 16575
 335.184	 16560
 335.185	 16575
 335.186	 16575
 335.187	 16575
 335.189	 16600
 335.190	 16600
 335.191	 16590
 335.192	 16590
 335.193	 16590
 335.194	 16590
 335.196	 16590
 335.197	 16575
 335.198	 16560
 335.199	 16550
 335.200	 16560
 335.201	 16590
 335.203	 16630
 335.204	 16615
 335.205	 16600
 335.206	 16615
 335.207	 16590
 335.209	 16590
 335.210	 16590
 335.211	 16600
 335.212	 16600
 335.213	 16600
 335.214	 16615
 335.216	 16615
 335.217	 16640
 335.218	 16630
 335.219	 16630
 335.220	 16640
 335.221	 16630
 335.223	 16630
 335.224	 16640
 335.225	 16655
 335.226	 16630
 335.227	 16640
 335.228	 16615
 335.230	 16600
 335.231	 16630
 335.232	 16590
 335.233	 16600
 335.234	 16615
 335.235	 16630
 335.237	 16630
 335.238	 16630
 335.239	 16640
 335.240	 16640
 335.241	 16655
 335.242	 16670
 335.244	 16695
 335.245	 16680
 335.246	 16680
 335.247	 16670
 335.248	 16680
 335.250	 16655
 335.251	 16655
 335.252	 16640
 335.253	 16640
 335.254	 16670
 335.255	 16680
 335.257	 16655
 335.258	 16695
 335.259	 16670
 335.260	 16680
 335.261	 16670
 335.262	 16680
 335.264	 16680
 335.265	 16680
 335.266	 16670
 335.267	 16680
 335.268	 16695
 335.269	 16710
 335.271	 16710
 335.272	 16680
 335.273	 16655
 335.274	 16670
 335.275	 16695
 335.276	 16680
 335.278	 16710
 335.279	 16720
